Rua,Bairro,Cidade,Metragem,Quartos,Banheiros,Vagas,Valor,lat,lon
"Rua Getúlio Vargas Filho, 572 ",Cidade Vargas,São Paulo,114,3,4,2,550000,-23.6452331,-46.6363058
Rua Bernardo Vieira,Vila Laís,São Paulo,104,1,1,1,270000,-23.5177951,-46.5353856
Rua Marechal Bina Machado,Jardim Marajoara,São Paulo,360,4,5,4,1750000,-23.6535982,-46.6849493
"Rua Doutor Augusto de Miranda, 1046 ",Vila Pompéia,São Paulo,98,3,3,1,1050000,-23.532128390723173,-46.69048157366374
Alameda dos Ciprestes,Chácara Santo Antônio (Zona Sul),São Paulo,351,4,4,4,3480000,-23.2540125,-47.0502579
Rua José Clemente,Jardim Paulista,São Paulo,700,4,5,4,7900000,-23.5763615,-46.6606481
Rua Laplace,Brooklin Paulista,São Paulo,300,3,5,4,2400000,-23.6314685,-46.6767599
,Jardim Trussardi,São Paulo,125,3,4,3,800000,,
"Rua Aquiramun, 94 ",Alto de Pinheiros,São Paulo,450,5,6,5,5500000,,
,Vila Madalena,São Paulo,534,5,6,5,4500000,-23.5464956,-46.6911243
,Jardim dos Estados,São Paulo,340,4,6,3,3000000,-23.5198462,-47.4760404
Rua Rússia,Jardim Europa,São Paulo,200,3,3,2,2700000,-23.5790916,-46.6802725
Rua Oscar Pinheiro Coelho,Caxingui,São Paulo,110,2,1,3,620000,-23.5829166,-46.7185128
"Rua Tagipuru, 168 ",Barra Funda,São Paulo,170,4,3,2,1600000,-23.530087669896517,-46.66440450084959
Rua Américo Brasiliense,Alto da Boa Vista,São Paulo,340,4,6,7,2200000,-23.6303603,-46.7038045
Rua Catão,Vila Romana,São Paulo,235,3,4,3,1280000,-23.5216936,-46.7004078
,Vila Santos,São Paulo,114,3,1,3,510000,-23.0928307,-45.6980665
"Rua Conchilia, 383 ",Vila Albertina,São Paulo,300,4,6,4,1600000,-23.4548338,-46.6173626
"Rua Antônio Barbosa de Oliveira, 55 ",Vila João Batista,São Paulo,571,3,2,3,987000,-23.1760233,-45.7979371
"Rua João Pereira Santos, 144 ",Jardim Nova Germania,São Paulo,57,3,1,5,350000,-23.6558373,-46.757939
Rua Monte Cardoso,Vila Antonieta,São Paulo,150,3,2,2,600000,-23.5687275,-46.5161151
,Jardim Europa,São Paulo,693,4,5,6,16000000,-22.7252877,-47.3629074
"Rua Prisciliana Duarte, 250 ",Jardim da Saúde,São Paulo,257,3,4,4,1600000,-23.6161101,-46.61353
Rua Agostinho da Mota,Chácara Santo Antônio (Zona Leste),São Paulo,140,3,4,4,900000,,
,Butantã,São Paulo,299,4,5,3,2140000,-23.5690555,-46.7218833626702
Rua Professor João Marinho,Vila Mariana,São Paulo,170,3,4,2,1490000,-23.5735221,-46.6517872
Rua Pereira Caldas,Jardim da Glória,São Paulo,200,3,2,2,1000000,-23.5795988,-46.6196079
Rua Princesa Leopoldina,Alto da Lapa,São Paulo,100,2,2,1,940000,-23.5280321,-46.7157685
,Jardim Petrópolis,São Paulo,243,5,4,2,1390000,-22.3064403,-49.0940003
,Vila Mariana,São Paulo,228,4,5,3,2200000,-23.5837,-46.632740824206934
"Avenida Moaci, 1445 ",Planalto Paulista,São Paulo,420,5,7,6,1900000,-23.617371603281185,-46.65644032922627
,Vila Aparecida,São Paulo,168,3,1,2,621000,-22.9530115,-46.5344728
,Siciliano,São Paulo,300,3,3,3,1300000,-23.5343382,-46.6983219
"Estrada Velha da Penha, 120 ",Tatuapé,São Paulo,110,2,1,2,450000,-23.5296136,-46.5540457
Rua Bernardo Alvarenga,Caxingui,São Paulo,350,3,4,2,1969000,-23.5800653,-46.7145213
Rua Doutor Antônio Gontijo de Carvalho,Jardim Cordeiro,São Paulo,1200,6,7,8,6360000,-23.6344212,-46.683546
Rua Judith,Vila Madalena,São Paulo,146,3,2,2,1550000,-23.7662421,-45.7512827
Rua Catão,Vila Romana,São Paulo,130,2,2,1,688000,-23.5320644,-46.7002282
,Alto da Lapa,São Paulo,170,4,5,6,1700000,-23.5273913,-46.7130594
Rua Manuel Francisco Alves,Parque Casa de Pedra,São Paulo,232,8,3,1,500000,-23.4508071,-46.5927428
Rua Luís Dib Zogaib,Morumbi,São Paulo,443,4,6,8,1800000,,
Rua Pamplona,Jardim Paulista,São Paulo,156,4,4,2,2340000,-23.5697896,-46.659651
"Rua Alexandre Von Humboldt, 1 ",Praia Azul,São Paulo,250,4,4,3,580000,-23.7030108,-46.7332676
"Rua Boiçununga, 273 ",São João Clímaco,São Paulo,200,3,3,2,570000,-23.6230988,-46.5954839
Rua Doutor Valentino Sola,Jardim da Glória,São Paulo,231,4,5,6,1650000,-23.5857804,-46.6241147
,Jardim Guedala,São Paulo,420,3,6,5,3500000,-23.5873828,-46.71764795766417
Rua Serenata,Vila Prudente,São Paulo,140,3,3,2,490000,-23.22491355,-47.26112115560291
Rua Eduardo da Silva Magalhães,Parque Continental,São Paulo,350,5,7,7,2500000,-23.5387317,-46.7573009
"Rua João Pedro, 165 ",Capela do Socorro,São Paulo,120,3,3,3,500000,-23.6901252,-46.7071898
,Planalto Paulista,São Paulo,361,4,6,5,1490000,-22.3302088,-52.2244637
Rua Quirino Pucca,Vila Romana,São Paulo,65,1,1,2,480000,-23.534057,-46.6960431
Rua Guira-Guainumbi,Parque Santa Madalena,São Paulo,180,4,2,1,300000,-23.6086426,-46.50917
Rua Teviot,Vila Nova Conceição,São Paulo,363,4,6,4,5100000,-23.5857607,-46.6684936
"Rua Coronel Melo de Oliveira, 704 ",Perdizes,São Paulo,184,3,3,2,1272000,-23.531441389492866,-46.688259666401855
,Jardim da Glória,São Paulo,230,3,3,4,1500000,-23.5827197,-46.6219813
,Vila Ida,São Paulo,437,3,5,5,1850000,-23.5431007,-46.7074196
"Rua Amélia da Silveira, 44 ",Jardim Vivan,São Paulo,176,3,4,2,620000,-23.4556637,-46.7319741
"Rua Alberto Lohnhoff, 60 ",Lauzane Paulista,São Paulo,88,3,3,1,455000,-23.4729069,-46.6468441
Rua Itália,Jardim Europa,São Paulo,713,5,7,6,26600000,-23.4381939,-46.4071571
Rua Constantino de Sousa,Campo Belo,São Paulo,266,6,6,6,1750000,-23.6152974,-46.6716677
"Rua José Ubaldo Lomônaco, 173 ",Jardim da Glória,São Paulo,430,5,6,4,3150000,-23.5865531,-46.6224873
"Rua Bolívia, 200 ",Jardim América,São Paulo,1060,4,5,9,11489000,-23.66011725,-46.81889513497769
Rua Faustino Augusto César,Vila Marari,São Paulo,180,3,3,3,850000,-23.6650935,-46.6623091
,Cidade Jardim,São Paulo,600,4,6,4,2200000,-23.6150559,-45.3916312
Rua dos Macunis,Vila Madalena,São Paulo,180,4,4,4,2400000,-23.5584804,-46.6966992
"Rua Vergueiro, 5114 ",Cursino,São Paulo,113,3,2,2,570000,-23.592755748159224,-46.619929549967814
,Cidade Dutra,São Paulo,497,3,4,8,1300000,-23.7139643,-46.6990882
"Rua Joaquim Lima de Moraes, 5 ",Santo Amaro,São Paulo,224,3,4,2,1500000,-23.6262364,-46.6964076
"Rua Jorge Fares, 80 ",Jardim São Luís,São Paulo,127,3,1,2,540000,-23.6572719,-46.7373898
,Água Fria,São Paulo,190,3,4,4,750000,-23.4817879,-46.62499
,Parque Boturussu,São Paulo,60,2,5,1,251000,,
,Belenzinho,São Paulo,124,4,3,1,595000,-23.4736106,-46.5991147
"Rua Antônio Sales de Camargo, 86 ",Bosque da Saúde,São Paulo,118,4,5,3,960000,-23.6104775,-46.6214503
Rua Croata,Vila Ipojuca,São Paulo,358,3,4,4,2160000,-23.5349235,-46.7056948
Rua Emílio Pedutti,Morumbi,São Paulo,546,4,7,6,3290000,-23.5878894,-46.7137022
"Rua Açaré, 63 ",Alto de Pinheiros,São Paulo,252,3,5,4,2900000,-23.5561362,-46.7121624
,Vila Ida,São Paulo,293,3,5,4,3650000,-23.5431007,-46.7074196
,Jardim Panorama,São Paulo,639,4,8,4,3600000,-20.8277767,-49.4017881
,Jardim Ampliação,São Paulo,160,3,4,3,860000,,
"Rua Cristiano Viana, 961 ",Cerqueira César,São Paulo,155,3,1,1,1300000,-23.5550577,-46.6801964
,Lauzane Paulista,São Paulo,80,2,1,2,374500,-23.4713573,-46.6445383
Rua Aguaçaí,Pari,São Paulo,180,3,4,1,750000,-23.5265504,-46.613031
"Rua Muller Carioba, 153 ",Jardim da Saúde,São Paulo,230,3,2,3,660000,-23.6162933,-46.6127198
Rua Olímpia Lemes da Silva,Jardim das Vertentes,São Paulo,260,3,3,2,940000,-23.5884779,-46.7417109
,Vila Sabrina,São Paulo,500,8,5,1,990000,-23.4912022,-46.5766581
Rua Frederico Von Martius,Ipiranga,São Paulo,300,3,5,2,1350000,-23.5747805,-46.6124516
,Alto de Pinheiros,São Paulo,360,3,5,4,4950000,-23.5499064,-46.7076422
,Vila Olímpia,São Paulo,120,3,4,2,1550000,-23.5940278,-46.6842193
Rua Doutora Maria Augusta Saraiva,Vila Olímpia,São Paulo,120,3,2,2,1550000,-23.5953493,-46.6738905
Rua Doutor Fausto de Almeida Prado Penteado,Jardim Sílvia (Zona Oeste),São Paulo,1643,4,5,10,4500000,-23.5974475,-46.703565
,Jardim Franca,São Paulo,381,4,4,6,1250000,-23.4771766,-46.6143865
Rua Banibás,Alto de Pinheiros,São Paulo,750,5,5,8,6500000,-23.5502185,-46.7150028
"Rua Comendador Gabriel Calfat, 51 ",Jardim Leonor,São Paulo,554,4,7,4,2750000,-23.6004113,-46.7228429
,Santo Amaro,São Paulo,250,3,6,2,1600000,-23.6562303,-46.7191156
"Rua Barbalha, 90 ",Alto da Lapa,São Paulo,229,3,2,2,949000,-23.533765,-46.7195156
Rua Alfredo Pinheiro,Parque Continental,São Paulo,200,3,2,2,710000,-23.535329,-46.7590855
"Rua Salvador Simões, 0 ",Vila Dom Pedro I,São Paulo,198,3,4,3,972000,-23.6036867,-46.6137859
"Rua Alexandre Teixeira, 85 ",Vila Euthalia,São Paulo,130,2,2,2,350000,-23.5483984,-46.5224708
Rua Irmã Amélia,Vila Prudente,São Paulo,147,3,3,3,820000,-23.5801462,-46.5674565
"Alameda dos Apetupás, 550 ",Planalto Paulista,São Paulo,400,4,4,4,2100000,,
Rua Agrovila,Campo Belo,São Paulo,178,3,3,3,1250000,-23.6199318,-46.6675897
Rua Doutor José Manoel de Figueiredo Netto,Santana,São Paulo,66,4,3,1,590000,-23.4962308,-46.6320201
Avenida Piassanguaba,Planalto Paulista,São Paulo,260,3,5,2,2350000,-23.6010973,-46.6540684
,Jardim Guedala,São Paulo,584,4,6,4,2950000,-23.5873828,-46.71764795766417
,Mooca,São Paulo,80,2,2,4,870000,-23.5606808,-46.5971924
"Rua Roncador, 11 ",Vila Corberi,São Paulo,100,3,1,2,340000,-24.0411068,-46.5337207
Rua Douro,São Judas,São Paulo,831,4,8,4,16000000,-23.6261498,-46.6392731
,Jardim América,São Paulo,617,4,4,8,9500000,-21.1926885,-47.8048742
,Alto da Lapa,São Paulo,180,4,2,4,1290000,-23.5273913,-46.7130594
Rua Aquiramun,Alto de Pinheiros,São Paulo,680,4,6,3,11700000,,
,Vila Gustavo,São Paulo,129,3,2,2,750000,-23.480713,-46.5958215
Rua Maestro Elias Lobo,Jardim Paulista,São Paulo,191,3,4,1,2590000,-23.2635455,-47.2963062
"Rua Bariri, 0 ",Vila Carrão,São Paulo,170,3,2,4,630000,-23.5577816,-46.5301148
Rua Lourenço Castanho,Vila Nova Conceição,São Paulo,280,4,3,8,3995000,-23.5876017,-46.6660097
Rua Costa Aguiar,Ipiranga,São Paulo,220,3,4,4,1490000,-23.5739015,-46.60758
Rua dos Franceses,Morro dos Ingleses,São Paulo,1039,6,7,20,22000000,-23.5582291,-46.6472116
Rua Marechal Santos Barreto,Vila Prudente,São Paulo,101,3,4,2,600000,-23.5803433,-46.5730748
"Rua Helena Ricceli Luchetti, 190 ",Parque Savoy City,São Paulo,160,3,2,2,580000,-23.5684579,-46.4864802
,Sumaré,São Paulo,631,4,5,6,3500000,-22.8217964,-47.267105
,Jardim Franca,São Paulo,300,4,6,4,1600000,-23.4771766,-46.6143865
"Rua Dinamarca, 136 ",Jardim Europa,São Paulo,600,7,7,6,10600000,-22.5940505,-47.3734255
,Pacaembu,São Paulo,306,4,3,2,2000000,-24.7505847,-53.7249498
"Travessa Doutor Ezequiel Antunes de Oliveira, 103 ",Vila Nova Conceição,São Paulo,120,3,4,3,2850000,-23.5927738,-46.6825436
"Rua Ximbó, 410 ",Aclimação,São Paulo,140,4,3,4,800000,-23.5785097,-46.632577
"Rua Chico de Paula, 514 ",Nossa Senhora do Ó,São Paulo,354,5,5,6,1350000,-23.4992514,-46.6992236
"Rua Gregório Lazzarini, 55 ",Jardim Três Marias,São Paulo,120,3,3,4,380000,-23.608609,-46.4694951
"Rua Professor Guilherme Belfort Sabino, 230 ",Campininha,São Paulo,164,2,1,1,440000,-23.6734422,-46.6819643
Rua Califórnia,Cidade Monções,São Paulo,120,4,3,2,780000,-23.5181299,-46.3842947
"Rua Thomaz Antônio Villani, 50 ",Vila Santa Maria,São Paulo,140,3,2,3,780000,,
Rua Rodrigues de Campos Leite,Vila Ipojuca,São Paulo,135,3,4,2,799000,-23.5374832,-46.7026883
"Rua Nélio Batista Guimarães, 0 ",Parque Boturussu,São Paulo,171,3,1,4,420000,-23.5047657,-46.4842486
,Jardim Santo Amaro,São Paulo,240,2,4,6,1800000,-23.4500741,-47.4914239
"Rua Ipomeias, 289 ",Vila Bela,São Paulo,36,2,1,1,190000,,
Rua Arapuã,Vila Guarani (Z Sul),São Paulo,180,3,3,2,559000,-23.6317654,-46.6464844
,Jardim Ampliação,São Paulo,160,3,4,3,799000,,
