Rua,Bairro,Cidade,Metragem,Quartos,Banheiros,Vagas,Valor,lat,lon
Rua Doutor Cid de Castro Prado,Planalto Paulista,São Paulo,144,2,3,2,800000,-23.6195835,-46.654644
Avenida dos Bandeirantes,Planalto Paulista,São Paulo,178,2,3,2,750000,-23.6175325,-46.6616845
Alameda dos Guatás,Saúde,São Paulo,210,3,5,2,1130000,-23.6135117,-46.6381206
Rua Lutécia,Vila Nova Manchester,São Paulo,308,2,1,1,1100000,-23.555471,-46.5428313
Rua Doutor Alfredo Di Vernieri,Conjunto Residencial Butantã,São Paulo,120,2,1,2,450000,-23.5776424,-46.7271883
,Vila Agueda,São Paulo,120,3,2,1,699000,,
,Jardim Paulista,São Paulo,1200,3,6,10,15000000,-23.5652185,-46.6601846
Rua Flávio Queirós Morais,Pacaembu,São Paulo,374,4,5,3,2800000,-23.5491088,-46.6734127
,Jardim América,São Paulo,600,3,5,5,12250000,-21.1926885,-47.8048742
Rua Cunha Gago,Pinheiros,São Paulo,100,1,2,1,692000,-23.5640928,-46.6926408
"Rua Alberto Faria, 1 ",Alto de Pinheiros,São Paulo,300,3,3,4,3300000,-23.5577773,-46.7025788
,Vila Firmiano Pinto,São Paulo,97,2,2,1,475000,-23.5989037,-46.6194234
,Vila Inah,São Paulo,360,4,6,6,2345000,,
Avenida Bagiru,Boaçava,São Paulo,425,5,8,4,5700000,-23.5445036,-46.719531
Praça Horácio Sabino,Pinheiros,São Paulo,250,4,2,6,4500000,-23.5507974,-46.68383951430171
,Indianópolis,São Paulo,215,3,1,3,1680000,-23.6074637,-46.6689221
Rua das Ameixeiras,Conjunto Residencial Jardim Canaã,São Paulo,175,3,5,2,600000,-23.6546199,-46.6659794
Rua Escobar Ortiz,Vila Nova Conceição,São Paulo,357,4,4,3,6340000,-23.5900122,-46.665284
,Jardim Vila Mariana,São Paulo,305,3,2,6,2500000,-23.5923787,-46.6261595
,Jardim Santo Amaro,São Paulo,255,3,4,4,1300000,-23.4500741,-47.4914239
,Vila Lúcia,São Paulo,345,3,1,5,1810000,-20.5645515,-47.3999335
Rua das Hortênsias,Mirandópolis,São Paulo,175,3,3,2,930000,-22.7901672,-45.1508005
,Brooklin Paulista,São Paulo,255,4,5,4,2200000,-23.6294989,-46.6736894
Rua Dom Silvério Pimenta,Vila Gumercindo,São Paulo,176,3,5,5,1350000,-23.6014243,-46.6226292
,Jardim Europa,São Paulo,177,2,3,2,4400000,-22.7252877,-47.3629074
Rua Matilde Diez,Vila do Castelo,São Paulo,458,3,1,5,780000,-23.6736763,-46.6706577
Rua Octávio Modolin,Jardim Rosa Maria,São Paulo,90,2,2,2,370000,-23.5924617,-46.7719866
,Jardim Monte Kemel,São Paulo,130,3,4,2,600000,,
,Vila Gomes Cardim,São Paulo,384,4,3,5,2014000,-23.5451502,-46.5617029
Rua Trinta e Um de Março,Fazenda Morumbi,São Paulo,434,4,5,4,1000000,-22.1984045,-49.9516422
Rua João Álvares Soares,Campo Belo,São Paulo,205,4,6,6,2900000,-23.6296202,-46.6790441
Rua Elizabeth Trovão Usui,Vila Olímpia,São Paulo,116,3,2,2,1600000,-23.5993477,-46.679686
"Rua Bernardino Machado, 321 ",Granja Julieta,São Paulo,898,7,9,4,3920000,-23.6398686,-46.7054337
,Chácara Inglesa,São Paulo,95,3,3,2,900000,-23.608307,-46.6323198
,Santo Amaro,São Paulo,275,3,3,3,1650000,-23.6562303,-46.7191156
,Cidade Monções,São Paulo,217,4,5,4,1900000,,
Praça Delgado Arouche,Alto da Mooca,São Paulo,135,3,2,2,750000,-23.56051335,-46.58820535025964
Alameda das Quaresmeiras,Chácara Santo Antônio (Zona Sul),São Paulo,313,3,5,6,3500000,-23.1841454,-46.9108421
,Bela Aliança,São Paulo,295,3,6,6,2700000,-23.5248526,-46.7225147
,Tremembé,São Paulo,455,3,5,5,1760000,-22.95714,-45.547526
"Rua Sebastião Cabot, 391 ",Jardim Guedala,São Paulo,395,3,3,4,3300000,-23.5833204,-46.7054377
Rua Eva Bloch,Bosque da Saúde,São Paulo,155,4,3,4,1500000,-23.5997997,-46.6276231
,Campo Belo,São Paulo,80,2,1,1,430000,-23.6299339,-46.670417
Rua Odair Pimentel,Parque dos Príncipes,São Paulo,181,3,6,4,1060000,-23.5710479,-46.7684877
,Alto de Pinheiros,São Paulo,450,5,8,5,5500000,-23.5499064,-46.7076422
Rua Professor Eduardo Monteiro,Jardim Leonor,São Paulo,262,6,8,4,1295000,-23.595502,-46.710554
Rua Jaguari,Bosque da Saúde,São Paulo,242,3,4,1,770000,-23.1578202,-45.909193
Rua Francisco Pessoa,Vila Andrade,São Paulo,165,3,3,2,846000,-23.6272684,-46.7373406
Rua Teodoro Ramos,Pacaembu,São Paulo,280,3,1,4,2800000,-23.5466449,-46.6702535
Rua Canto e Melo,Santo Amaro,São Paulo,257,3,4,6,1100000,-23.6462036,-46.720393
,Brooklin Paulista,São Paulo,330,5,4,4,1703000,-23.6294989,-46.6736894
,Paraíso do Morumbi,São Paulo,250,3,5,3,2100000,-23.2665361,-45.89918783546443
,Jardim Monte Alegre,São Paulo,100,2,2,3,330000,-23.6005259,-46.7681687
Rua Francisco Dias,Bosque da Saúde,São Paulo,280,4,4,6,1200000,-23.61468,-46.621336
,Jardim Leonor,São Paulo,360,4,5,3,1280000,-23.6087105,-46.9300813
,Vila Tramontano,São Paulo,572,6,8,4,2400000,,
Avenida da Invernada,Vila Congonhas,São Paulo,168,5,2,5,1272000,-23.6223057,-46.6659495
Rua Macejana,Indianópolis,São Paulo,450,3,5,3,2000000,-23.618793,-46.6568956
Avenida Nova Independência,Brooklin Paulista,São Paulo,167,4,2,3,1590000,-23.6067974,-46.6921622
"Rua Lázaro José Gonçalves, 164 ",Jardim Avelino,São Paulo,400,3,5,6,1950000,-23.588989,-46.5687104
Rua Baltar,Vila Califórnia,São Paulo,300,2,3,4,550000,-23.6047369,-46.5642156
,Planalto Paulista,São Paulo,242,4,5,4,2790000,-22.3302088,-52.2244637
Rua Sousa Leão,Mooca,São Paulo,160,3,3,5,1050000,,
"Rua Lourenço Castanho, 50 ",Vila Nova Conceição,São Paulo,350,4,2,4,4000000,-23.5876017,-46.6660097
"Rua Atlântica, 50 ",Jardim América,São Paulo,420,4,8,10,9900000,-20.419079,-49.9617825
,Jardim Leonor,São Paulo,593,4,4,5,4900000,-23.6087105,-46.9300813
"Rua Camundo, 320 ",Planalto Paulista,São Paulo,155,3,2,3,770000,-23.6262622,-46.6508514
Rua João Bizarro da Nave,Vila Diva (Zona Leste),São Paulo,374,3,2,1,1400000,-23.5730921,-46.5624551
,Planalto Paulista,São Paulo,535,4,2,4,4800000,-22.3302088,-52.2244637
,Vila Morumbi,São Paulo,495,4,5,2,2100000,-23.608539,-46.70169036248946
Rua Eliseu Visconti,Paineiras do Morumbi,São Paulo,660,4,4,6,4300000,-23.6028461,-46.7076579
Rua Manuel Figueiredo Landim,Jardim Campo Grande,São Paulo,300,4,5,5,1300000,-23.6782968,-46.6889173
Alameda Álvaro de Morais,Planalto Paulista,São Paulo,208,3,4,1,1400000,-23.6265681,-46.6518424
Rua Sebastião de Paiva,Vila Leopoldina,São Paulo,154,2,2,3,849000,-23.5204762,-46.7261443
,Jardim Leonor,São Paulo,232,3,5,3,2000000,-23.6087105,-46.9300813
"Rua Emboabas, 50 ",Brooklin Paulista,São Paulo,418,4,5,6,2700000,-22.7717662,-47.3896796
Rua Polônia,Jardim Europa,São Paulo,486,4,4,3,3190000,-23.6418509,-46.4491959
,Alto de Pinheiros,São Paulo,492,3,7,5,4800000,-23.5499064,-46.7076422
,Jardim Luzitânia,São Paulo,582,4,5,4,9500000,-23.64705085,-46.78020523242816
Rua Estados Unidos,Jardim América,São Paulo,1816,4,10,20,55000000,-20.5460496,-47.4032097
,Jardim Paulista,São Paulo,320,4,3,3,4200000,-23.5652185,-46.6601846
,Jardim América,São Paulo,605,3,5,5,12250000,-21.1926885,-47.8048742
Rua Cunha Gago,Pinheiros,São Paulo,105,1,2,1,692000,-23.5640928,-46.6926408
"Rua Alberto Faria, 1 ",Alto de Pinheiros,São Paulo,305,3,3,4,3300000,-23.5577773,-46.7025788
,Vila Firmiano Pinto,São Paulo,102,2,2,1,475000,-23.5989037,-46.6194234
,Vila Inah,São Paulo,365,4,6,6,2345000,,
Avenida Bagiru,Boaçava,São Paulo,430,5,8,4,5700000,-23.5445036,-46.719531
Praça Horácio Sabino,Pinheiros,São Paulo,255,4,2,6,4500000,-23.5507974,-46.68383951430171
,Indianópolis,São Paulo,220,3,1,3,1680000,-23.6074637,-46.6689221
Rua Comendador Elias Zarzur,Santo Amaro,São Paulo,310,3,5,3,2200000,-23.6469184,-46.6987484
,Pinheiros,São Paulo,500,4,6,5,9500000,-23.567249,-46.7019515
,Santo Amaro,São Paulo,200,4,1,10,1800000,-23.6562303,-46.7191156
,Vila Madalena,São Paulo,340,4,7,4,3180000,-23.5464956,-46.6911243
,Morumbi,São Paulo,680,4,6,4,4400000,-23.5964988,-46.7178446
,Jardim Patente,São Paulo,177,2,1,2,450000,-23.6276252,-46.586882
,Pacaembu,São Paulo,350,3,3,3,1850000,-24.7505847,-53.7249498
Avenida Piassanguaba,Planalto Paulista,São Paulo,260,3,4,2,2350000,-23.6010973,-46.6540684
Rua Visconde de Guilhofrei,Brooklin,São Paulo,90,2,2,2,947000,-23.6097108,-46.6882352
Avenida Nhandu,Planalto Paulista,São Paulo,280,3,4,2,890000,-23.6069847,-46.6489007
,Vila Clementino,São Paulo,160,3,1,6,2400000,-23.5980058,-46.6434179
,Vila Nova Curuçá,São Paulo,107,1,1,1,188682,-23.5171184,-46.4191889
Rua Sousa Ramos,Vila Mariana,São Paulo,250,3,1,10,2500000,-23.5942376,-46.6318158
Rua Carlos Petit,Vila Mariana,São Paulo,290,3,1,3,2500000,-23.5833767,-46.6318683
,Sumaré,São Paulo,550,3,4,6,3598010,-22.8217964,-47.267105
"Rua Doutor João Batista de Lacerda, , 248 ",Quarta Parada,São Paulo,150,3,3,4,750000,-23.551195,-46.586613
,Jardim Londrina,São Paulo,220,3,5,6,950000,-23.2554217,-51.1762897
"Rua Sônia Ribeiro, 1342 ",Brooklin,São Paulo,260,4,6,3,2300000,-23.6279685,-46.670835
Rua Luís Gama,Cambuci,São Paulo,320,3,1,6,1200000,-23.5555713,-46.6223375
,Cidade Jardim,São Paulo,917,3,6,11,9500000,-23.6150559,-45.3916312
"Rua Inácio Manuel Álvares, 854 ",Jardim Ester,São Paulo,200,2,3,4,830000,-23.5815214,-46.7675761
,Jardim Paulista,São Paulo,700,4,6,3,11000000,-23.5652185,-46.6601846
,Jardim Paulista,São Paulo,520,4,6,6,7500000,-23.5652185,-46.6601846
Rua Escritor Abeguar Bastos,Indianópolis,São Paulo,200,3,5,2,1600000,-23.618673,-46.6469051
Rua Laerte Assunção,Jardim Paulistano,São Paulo,400,4,6,5,7000000,-23.5708966,-46.683569
Avenida George Saville Dodd,Jardim Guedala,São Paulo,750,5,8,9,7500000,-23.5812878,-46.7081235
,Alto da Lapa,São Paulo,250,3,4,6,2000000,-23.5273913,-46.7130594
Rua Carlos Rodrigues de Barros,Parque Edu Chaves,São Paulo,135,3,5,3,584998,-23.4741023,-46.5723876
Praça José Pedro Leite Cordeiro,Bela Aliança,São Paulo,305,2,3,6,1645000,,
Rua Humberto I,Vila Mariana,São Paulo,115,2,2,1,850000,-23.5842757,-46.64253
"Rua José Osvaldo Ribeiro, 10 ",Vila Guilhermina,São Paulo,130,3,2,1,585000,-23.5369913,-46.5155008
Rua Ferrúcio Beneduzzi,Tremembé,São Paulo,103,2,1,2,500000,-23.4597426,-46.6098849
Rua Acarituba,Santo Amaro,São Paulo,405,4,6,5,3500000,-23.6373255,-46.6903268
"Rua Caramuru, 100 ",Saúde,São Paulo,380,9,4,4,3700000,-23.604879631024357,-46.63654708002167
"Rua Jacob Maris, 50 ",Instituto de Previdência,São Paulo,355,3,5,3,980000,-23.5789138,-46.7240443
Rua Luís Góis,Mirandópolis,São Paulo,105,4,2,3,650000,-23.60402,-46.647594
Travessa Estrela,Conjunto Promorar Raposo Tavares,São Paulo,245,6,5,1,500000,-23.4924407,-46.3881577
"Rua Conceição Russomano Pugliese, 94 ",Vila Indiana,São Paulo,100,2,2,2,1200000,-23.5707935,-46.7308137
Rua Oliveira Peixoto,Aclimação,São Paulo,120,3,3,8,1250000,-23.5695263,-46.6291336
,Lapa,São Paulo,135,2,2,2,863010,-23.5215756,-46.7043491
Rua Mário,Vila Romana,São Paulo,157,3,4,3,1350000,-23.5312044,-46.6976398
,Vila do Encontro,São Paulo,185,4,2,3,724000,-23.651586,-46.6399293
,Jardim Europa,São Paulo,605,4,2,10,12000000,-22.7252877,-47.3629074
,Campo Belo,São Paulo,335,3,4,2,1800000,-23.6299339,-46.670417
,Lar São Paulo,São Paulo,225,3,4,3,1200000,-23.838779600000002,-46.755575670393505
Rua Constantino Fraga,Vila Leopoldina,São Paulo,145,2,1,3,850000,-23.5363938,-46.7282767
,Jardim Ernestina,São Paulo,205,3,5,3,1200000,-21.4621149,-48.3968329
,Jardim Paulista,São Paulo,728,3,4,4,15000000,-23.5652185,-46.6601846
,Cidade Jardim,São Paulo,1822,5,8,6,12000000,-23.6150559,-45.3916312
,Chácara Santo Antônio (Zona Sul),São Paulo,755,4,5,4,3100000,-23.6277608,-46.7054657
Rua Mourato Coelho,Pinheiros,São Paulo,138,6,2,1,1390000,-23.566351,-46.6856195
Rua Tanabi,Água Branca,São Paulo,148,3,3,1,1200000,-23.5313692,-46.6738111
,Santo Amaro,São Paulo,719,5,7,4,3400000,-23.6562303,-46.7191156
Rua Heitor Peixoto,Cambuci,São Paulo,185,5,2,4,991000,-23.5753881,-46.6222335
Rua Marquês de Maricá,Sacomã,São Paulo,105,5,3,5,1200000,-23.2808335,-45.8995331
,Vila Ida,São Paulo,501,4,6,6,4100000,-23.5431007,-46.7074196
,Jabaquara,São Paulo,117,3,2,1,719000,-23.6487101,-46.645451
,Morumbi,São Paulo,325,3,5,4,1900000,-23.5964988,-46.7178446
Rua Aroaba,Vila Leopoldina,São Paulo,1050,2,1,1,10000000,-23.5339574,-46.7310441
Rua Sônia Ribeiro,Campo Belo,São Paulo,912,4,7,8,5800000,-23.635579,-46.6771826
Rua Laplace,Brooklin,São Paulo,397,4,6,4,4280000,-23.6314685,-46.6767599
Rua Doutor Inácio Arruda,Vila Monumento,São Paulo,355,3,2,5,1272000,-23.5694843,-46.6125011
,Jardim da Glória,São Paulo,343,5,6,4,3100000,-23.5827197,-46.6219813
Rua da Paz,Alto da Boa Vista,São Paulo,595,4,7,4,3200000,-23.490045,-46.4566375
,Santo Amaro,São Paulo,185,3,2,2,990000,-23.6562303,-46.7191156
,Jardim Europa,São Paulo,600,4,6,3,16500000,-22.7252877,-47.3629074
,Vila Buenos Aires,São Paulo,150,3,1,2,350000,-23.5091576,-46.5147421
,Jardim Jabaquara,São Paulo,240,3,4,6,795000,-23.6526887,-46.61639075253683
,Jardim Morro Verde,São Paulo,127,3,3,3,650000,-22.3887226,-46.9271649
"Rua Maria Celina, 119 ",Cursino,São Paulo,180,3,2,2,797900,-23.6016922,-46.6183628
Praça Graciliano Ramos,Vila Mariana,São Paulo,236,4,2,3,1450000,-23.5966071,-46.627210498201066
Rua Mesquita,Vila Deodoro,São Paulo,260,3,3,3,1800000,-23.5751799,-46.6210386
,Alto de Pinheiros,São Paulo,450,4,5,4,3500000,-23.5499064,-46.7076422
Rua Viaza,Jardim Aeroporto,São Paulo,110,2,1,2,545000,-23.6316312,-46.6697859
,Alto de Pinheiros,São Paulo,440,5,5,6,3000000,-23.5499064,-46.7076422
,Jardim Bonfiglioli,São Paulo,330,3,6,6,1700000,-23.207902,-46.8875032
,Alto de Pinheiros,São Paulo,492,3,5,6,4200000,-23.5499064,-46.7076422
Rua Miguel Teles Júnior,Cambuci,São Paulo,106,2,2,1,480000,-23.5669918,-46.6248292
,Parque dos Príncipes,São Paulo,414,4,8,6,1400000,-23.5756693,-46.7709742
Rua Pirandello,Brooklin Paulista,São Paulo,643,4,7,8,4800000,-23.6341351,-46.6757932
,Vila Sônia,São Paulo,220,3,3,4,1200000,-23.5986562,-46.7392935
,Caxingui,São Paulo,540,4,8,4,1600000,-23.5849439,-46.7146853
,Boaçava,São Paulo,423,4,4,5,3500000,-23.540313,-46.7226097
,Jardim Marajoara,São Paulo,467,4,7,5,2990000,-23.6553634,-46.6849371
"Avenida Sanatório, 977 ",Jardim Modelo,São Paulo,100,1,1,1,250000,-23.4768799,-46.5800724
Rua Ferdinando Laboriau,Pacaembu,São Paulo,450,4,3,4,2350000,-23.546122,-46.6711668
Rua Coronel Diogo,Jardim da Glória,São Paulo,166,6,6,1,1060000,-21.4740392,-46.9887628
"Rua Piraçununga, , 1102 ",Vila Bertioga,São Paulo,63,2,1,1,298000,-23.5663794,-46.5801169
Rua Santos Dumont,Jardim Petrópolis,São Paulo,567,5,6,4,3490000,-23.9625684,-46.3114529
,Vila Olímpia,São Paulo,140,3,4,2,950000,-23.5940278,-46.6842193
"Avenida Diogo Gomes Carneiro, 400 ",Jardim Rosa Maria,São Paulo,145,3,2,2,820000,-23.5895194,-46.7719108
"Rua Ipiranga, 311 ",Jardim Aeroporto,São Paulo,120,2,3,2,590000,-21.1254671,-48.9950423
,Parque dos Príncipes,São Paulo,245,4,3,4,1090000,-23.5756693,-46.7709742
Rua Itaquera,Pacaembu,São Paulo,460,4,5,4,2800000,-23.5496781,-46.6620225
Rua Armando Petrella,Jardim Panorama,São Paulo,600,4,8,6,16000000,-23.5996702,-46.7002714
Praça El Salvador,Interlagos,São Paulo,420,3,4,6,1800000,-23.701696400000003,-46.70951591995305
,Cidade Jardim,São Paulo,900,4,5,8,8400000,-23.6150559,-45.3916312
Rua Emboabas,Brooklin,São Paulo,404,3,3,4,1387000,-23.6383941,-46.6737876
Rua Brigadeiro Gama Barcelos,Parque Jabaquara,São Paulo,350,3,2,4,890000,-23.6331845,-46.6571398
,Bela Aliança,São Paulo,400,3,2,8,1500000,-23.5248526,-46.7225147
,Alto de Pinheiros,São Paulo,450,4,5,2,3500000,-23.5499064,-46.7076422
,Chácara Santo Antônio (Zona Sul),São Paulo,390,4,1,3,2650000,-23.6277608,-46.7054657
Rua Oliveira Peixoto,Aclimação,São Paulo,125,3,3,8,1250000,-23.5695263,-46.6291336
,Lapa,São Paulo,140,2,2,2,863010,-23.5215756,-46.7043491
,Jardim Bélgica,São Paulo,175,3,4,2,1200000,,
,Brooklin Paulista,São Paulo,145,3,3,2,1090000,-23.6294989,-46.6736894
Avenida Lasar Segall,Vila Celeste,São Paulo,465,3,4,2,772000,-23.1609604,-47.2698195
"Rua Eusébio de Paula Marcondes, 513 ",Rio Pequeno,São Paulo,125,2,1,2,350000,-23.5726152,-46.7781289
Rua Campina da Taborda,Planalto Paulista,São Paulo,355,3,4,2,1800000,-23.622193,-46.6428294
,Campo Belo,São Paulo,325,3,5,3,2200000,-23.6299339,-46.670417
Rua Dona Balduína,Sumaré,São Paulo,325,4,7,3,3200000,-23.5472957,-46.6752057
"Rua Doutor Paulo Queiroz, 1730 ",Jardim Nove de Julho,São Paulo,525,3,2,2,450000,-23.5849431,-46.4902617
Rua Ajuritiba,Jardim Oriental,São Paulo,95,2,1,6,500000,-23.6408934,-46.6524005
,Santo Amaro,São Paulo,500,4,5,5,3700000,-23.6562303,-46.7191156
Rua Emboabas,Brooklin Paulista,São Paulo,300,4,4,3,1700000,-23.6383941,-46.6737876
,Jardim Marajoara,São Paulo,450,3,5,6,2440000,-23.6553634,-46.6849371
,Chácara Santo Antônio (Zona Sul),São Paulo,420,4,6,8,3500000,-23.6277608,-46.7054657
Rua Mário Jorge,Alto da Lapa,São Paulo,46,1,2,2,945000,-23.5401509,-46.7173614
"Rua Filipe Cardoso, 381 ",Cursino,São Paulo,340,3,4,4,2300000,,
"Rua Mil Oitocentos e Vinte e Dois, , 974 ",Ipiranga,São Paulo,130,3,2,2,636000,-23.5918547,-46.5987752
,Vila Cruzeiro,São Paulo,121,2,2,2,750000,-24.1115912,-49.3414603
Rua Froben,Vila Leopoldina,São Paulo,202,3,2,2,799000,-23.5314343,-46.7323008
,Vila Santa Catarina,São Paulo,123,3,3,3,580000,-22.7511013,-47.3279949
,Vila Madalena,São Paulo,250,4,5,3,2022000,-23.5464956,-46.6911243
,Jardim Petrópolis,São Paulo,600,4,6,5,3980000,-22.3064403,-49.0940003
Rua Carlos Petit,Vila Mariana,São Paulo,200,3,4,3,1900000,-23.5833767,-46.6318683
,Cidade Monções,São Paulo,215,3,2,1,2200000,,
Rua Traipu,Pacaembu,São Paulo,280,5,2,1,2490000,-23.532446,-46.6622093
Rua General Nestor Passos,Jardim Paraíso,São Paulo,132,3,4,3,800000,-23.475906,-46.6276331
,Jardim Europa,São Paulo,605,4,6,3,16500000,-22.7252877,-47.3629074
,Vila Buenos Aires,São Paulo,155,3,1,2,350000,-23.5091576,-46.5147421
,Jardim Jabaquara,São Paulo,245,3,4,6,795000,-23.6526887,-46.61639075253683
,Jardim Morro Verde,São Paulo,132,3,3,3,650000,-22.3829873,-46.9271649
,Brooklin Paulista,São Paulo,644,4,6,6,4800000,-23.6294989,-46.6736894
Rua das Begônias,Cidade Jardim,São Paulo,406,4,4,6,2800000,-20.8989962,-47.5718522
,Jardim Leonor,São Paulo,594,5,6,6,2550000,-23.6087105,-46.9300813
Alameda Calicut,Chácara Santo Antônio (Zona Sul),São Paulo,450,4,6,8,3750000,-23.6368555,-46.709298
"Rua Abadiânia, 430 ",Vila Guilhermina,São Paulo,183,3,3,2,635000,-23.5351635,-46.5189331
Rua das Malvas,Cidade Jardim,São Paulo,368,3,4,6,4500000,-23.1880666,-47.2805081
Rua Iguatemi,Itaim Bibi,São Paulo,125,3,2,1,2500000,-23.5849038,-46.6820172
Rua Tordesilhas,Lapa,São Paulo,286,4,5,4,1700000,-23.5213846,-46.7149884
Rua Henri Dunant,Santo Amaro,São Paulo,145,3,3,2,1250000,-23.6291922,-46.6977972
,Jardim Londrina,São Paulo,170,3,3,4,780000,-23.2554217,-51.1762897
Rua Jesuíno Bandeira,Vila Romana,São Paulo,195,2,2,3,600000,-23.5349447,-46.6961727
Rua Francisco Farel,Pinheiros,São Paulo,310,3,5,2,3064000,-23.5520073,-46.6831614
Rua Estefânia Mendes Pereira,Santana,São Paulo,180,3,4,1,1700000,-23.4964402,-46.6277536
Rua Leais Paulistanos,Ipiranga,São Paulo,226,3,1,1,800000,-23.5785556,-46.6094064
Rua Dardanelos,Alto da Lapa,São Paulo,104,3,2,2,850000,-23.5383561,-46.716306
Rua Heitor de Morais,Pacaembu,São Paulo,468,6,5,6,10000000,-23.5442904,-46.6733302
,Jardim Cordeiro,São Paulo,941,4,7,14,7900000,-23.64780615,-46.78981661900375
"Rua José Renato Pantoja, 86 ",Vila Sonia,São Paulo,160,3,3,4,1100000,-23.6071738,-46.742745
,Vila Romana,São Paulo,329,4,4,3,1490000,-21.2383197,-47.7796753
Rua Matias Roxo,Vila Leopoldina,São Paulo,100,2,2,3,650000,-23.5200047,-46.7262418
Rua Democracia,Vila Brasilina,São Paulo,100,2,2,1,445000,-23.626424,-46.612334
"Rua Tapirapés, 41 ",Balneário Mar Paulista,São Paulo,250,4,4,10,900000,-23.6980337,-46.6612543
,Vila Califórnia,São Paulo,60,1,1,3,300000,-20.9385048,-48.4534621
,Sumaré,São Paulo,190,3,4,2,2000000,-22.8217964,-47.267105
Rua Mário Ruas Alves,Vila Anhangüera,São Paulo,240,3,4,2,630000,,
"Rua Professor José Geraldo de Lima, 232 ",Vila Tiradentes,São Paulo,150,3,3,2,650000,-23.577422,-46.755261
Rua Artur de Souza Marques,Vila Tramontano,São Paulo,850,5,8,6,9000000,-23.6163805,-46.7082059
,Chácara Japonesa,São Paulo,115,3,3,2,1400000,,
,Jardim Ponte Rasa,São Paulo,274,4,3,2,420000,-23.5189103,-46.5109445
Rua Manuel Pereira Guimarães,Granja Julieta,São Paulo,208,3,4,2,1580000,-23.6421605,-46.7035139
,Vila Bela,São Paulo,103,3,2,2,450000,-21.1187019,-48.9672694
Rua Nazaré Paulista,Vila Madalena,São Paulo,244,4,4,3,1800000,-21.1417568,-47.7677703
Rua Visconde de Porto Seguro,Santo Amaro,São Paulo,1296,5,12,8,5700000,-23.6417727,-46.6841131
"Rua Bastos Pereira, 267 ",Vila Nova Conceição,São Paulo,440,4,4,3,7000000,-23.5881535,-46.6686456
,Jardim Marília,São Paulo,150,4,3,1,350000,-23.211507,-47.2803843
,Parque São Lucas,São Paulo,85,2,2,2,380000,-22.0970565,-51.4017338
,Instituto de Previdência,São Paulo,300,4,4,3,1550000,-23.5969247,-46.62939576670267
,Jardim Paulista,São Paulo,250,3,2,2,3650000,-23.5652185,-46.6601846
,Pacaembu,São Paulo,427,4,4,8,3400000,-24.7505847,-53.7249498
Rua Augusto de Toledo,Cambuci,São Paulo,210,2,4,2,1200000,-23.5702557,-46.62607
,Brooklin Paulista,São Paulo,375,3,4,3,2190000,-23.6294989,-46.6736894
Rua Alvorada do Sul,Jardim Guedala,São Paulo,777,4,6,4,8500000,-21.137344,-48.9928573
Rua Domingos Neto,Vila Marari,São Paulo,80,1,1,2,450000,-23.6678387,-46.6660281
Rua Doutor Queirós Guimarães,Jardim Guedala,São Paulo,411,4,6,6,2500000,-23.5817474,-46.7118279
Rua Zacarias de Góis,Brooklin,São Paulo,533,4,3,4,5500000,-23.6304094,-46.6782999
,Jardim Cordeiro,São Paulo,800,4,6,4,3900000,-23.64780615,-46.78981661900375
Rua Teixeira Mendes,Liberdade,São Paulo,185,4,2,2,750000,-23.5608195,-46.6249859
,Real Parque,São Paulo,538,4,5,6,2200000,-22.5672753,-47.4132936
Rua Alves Guimarães,Pinheiros,São Paulo,125,4,3,4,2600000,-23.5603595,-46.6749825
,Sumaré,São Paulo,485,3,3,4,3800000,-22.8217964,-47.267105
Rua Tenente Sotomano,Jardim Brasil (Zona Norte),São Paulo,71,3,2,2,450000,-23.4821102,-46.5733363
,Santo Amaro,São Paulo,158,4,3,4,2100000,-23.6562303,-46.7191156
Rua Angustura,Vila da Saúde,São Paulo,325,4,6,10,2200000,-23.616616,-46.6258978
"Rua Antônio Cubas, 283 ",Vila Santa Edwiges,São Paulo,155,3,4,3,700000,-23.5142117,-46.7565773
Rua Tapes,Jardim Aeroporto,São Paulo,157,5,5,4,839000,-23.6295001,-46.6691899
,Parque dos Príncipes,São Paulo,525,4,3,8,1700000,-23.5756693,-46.7709742
Rua Bandeirante Sampaio Soares,Vila Morumbi,São Paulo,489,5,6,6,6700000,-23.6117963,-46.7115927
Rua Manoel da Rocha Lins,Rio Bonito,São Paulo,255,5,4,2,559000,-23.7197433,-46.7014184
Rua Roque Giangrande Filho,Jardim Itapeva,São Paulo,105,2,1,2,600000,-23.6649717,-46.6868993
Rua Berlioz,Alto de Pinheiros,São Paulo,299,5,2,5,2200000,-23.5449133,-46.7162347
Rua Almirante Soares Dutra,Morumbi,São Paulo,370,4,4,4,1800000,-23.6071872,-46.7186588
Rua Alemanha,Jardim Europa,São Paulo,545,3,5,3,7699000,-23.4889769,-46.3425898
,Jardim Guedala,São Paulo,550,4,6,4,8500000,-23.5873828,-46.71764795766417
,Vila Brasílio Machado,São Paulo,305,3,4,4,958000,-23.71717685,-46.54681295867108
Rua São Mateus,Granja Julieta,São Paulo,165,3,4,4,1500000,-23.9386768,-46.3424523
Avenida Cupecê,Jardim Prudência,São Paulo,172,2,3,1,693000,-23.6728688,-46.6443036
Rua Hermínio Lemos,Cambuci,São Paulo,205,3,5,4,1250000,-23.5676498,-46.6229699
